Year,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
1981-82,1728,133.3,927.71,50,22,1719.17,240.36,129.95,127.28,35.57,138.78,444.79,306.33,68.944,804.33,78.06,136.18,0.78,40.25,964,154.11
1982-83,1926,129.52,905.44,57,20,1722.54,271.38,150.55,156.13,41.99,155.31,520.57,352.57,78.35,978.16,88.03,142.93,0.66,47.82,1258,176.39
1983-84,2241,152.37,887.9,61,21,1858.47,312.02,178.11,193.89,45.89,180.07,599.89,406.42,88.576,1111.22,97.71,158.31,0.1,59.72,1338,206.43
1984-85,2508,145.54,1035.07,69,19,1983.92,357.65,217.27,256.15,48.72,213.4,716.54,503.43,99.542,1328.59,117.44,171.34,0.23,72.43,1452,238.75
1985-86,2831,150.44,981.95,73,17,2125.47,429.51,245.55,293.79,60.74,239.16,786.27,583.21,112.899,1592.32,108.95,196.58,1.36,78.19,1449,265.24
1986-87,3166,143.42,1030.04,75,22,2323.49,494.15,293.54,356.11,64.63,268.58,1004.7,720.2,128.129,1932.55,124.52,200.958,1.51,81.51,2024,299.13
1987-88,3592,140.35,1019.93,77,24,3082.43,570.5,331.71,382.63,85.05,313.01,1102.72,843.7,147.122,2259.25,156.737,222.437,2.72,76.86,2893,351.22
1988-89,4249,169.92,1153.98,83,25,3175.22,669.42,374.46,425.95,92.53,356.82,1264.88,964.75,173.427,2641.74,202.315,282.352,1.25,70.4,2460,401.19
1989-90,4875,171.04,1064.9,81,28,3229.33,774.97,445.67,510.65,96.54,423.69,1451.39,1171.51,205.04,3102.02,276.584,353.284,4.06,62.52,2595,482.86
1990-91,5686,176.39,1169.36,82,32,3451.52,876.27,505.01,634.19,105.7,497.72,1632.4,1401.93,249,3663.31,325.576,431.929,4.2,114.16,3181,552.82
1991-92,6522,168.38,1227.37,79,40,4297.63,1027.69,569.02,552.25,108.65,573.27,1859.05,1582.63,304.02,4160.63,440.418,532.837,3.16,238.5,5421,637.38
1992-93,7496,179.48,1142.06,77,42,4103.66,1145.62,585.73,610.65,119.32,644.5,2030.43,1762.38,363.22,4753.89,536.883,633.745,9.65,307.44,5319,713.26
1993-94,8639,184.26,1243.81,78,43,4531.87,1217.7,711.51,806.21,321.64,762.12,2326.5,2039.18,441.62,6452.59,697.514,731.01,18.38,604.2,5074,853.96
1994-95,10145,191.5,1251.42,85,41,4667.24,1462.86,913.24,850.11,251.97,922.82,2728.74,2224.19,534.8,7323.81,826.741,899.707,41.26,797.8,3582,1046.81
1995-96,11921,180.42,1304.44,90,47,4957.6,1727.4,1018.61,911.13,327.21,1120.8,3035.82,2577.78,650.57,8253.57,1063.533,1226.781,71.72,743.84,318,1225.69
1996-97,13817,199.43,1313.06,92,54,5070.71,1973.05,1154.45,1032.94,328.92,1267.12,3435.48,2886.2,779.38,9135.31,1188.171,1389.197,100.15,949.32,2987,1372.17
1997-98,15321,193.12,1387.31,99,57,4347.07,2143.72,1399.64,1324.11,476.87,1421.87,3853.02,3305.97,936,10423.16,1301.006,1541.763,132.2,1159.05,1091,1510.56
1998-99,17573,203.61,1456.47,101,64,4268.17,2299.71,1647.25,1866.44,736.03,1588.54,4639.45,3866.77,1141.03,12101.91,1397.531,1783.319,103.2,1380.05,1920,1758.46
1999-00,19728,209.8,1471.49,115,75,4393.56,2715.44,1919,1948.14,854.82,1847.02,5404.23,4413.78,1390.32,14257.34,1595.614,2152.365,93.38,1659.13,1180,1970.61
2000-01,21172,196.81,1484.45,132,83,4473.6,3009.72,2229.82,2067.38,866.67,2015.81,5955.95,5119.55,1670.04,16041.03,2035.71,2308.728,184.04,1972.04,7505,2182.05
2001-02,22952,212.85,1492.11,136,86,4579.12,3089.47,2791.07,2352.16,1095.63,2271.64,6529.67,5895.65,2072.03,18561.83,2090.18,2451.997,292.45,2640.36,5601,2509.74
2002-03,24759,174.78,1443.88,142,89,5332.36,3520.18,3115.65,2447.99,1331.82,2586.75,7049.04,6765.23,2517.7,21016.68,2551.373,2972.059,243.97,3614.7,-11934,2824.73
2003-04,27718,213.19,1433.65,151,98,5718.95,4080.99,3853.69,2439.04,1351.92,2947.97,7963.84,7429.04,3267.41,23649.45,2933.668,3591.077,198.3,4901.29,-13488,3270.28
2004-05,31640,198.36,1471.03,157,105,6145.38,4853.75,4586.18,2335.68,800.28,3365.28,8697.57,7524.36,3931.85,26628.98,3753.395,5010.645,269.47,6191.16,14753,3686.61
2005-06,36060,208.6,1561.93,157,112,6900.56,5765.94,5751.3,2365.19,1136.92,3851.86,9598.55,7594.16,4872.27,29204,4564.179,6604.089,394.57,6763.87,7472,4295.78
2006-07,42214,217.28,1675.25,175,130,9240.32,7240.23,6723.67,2200.82,1255.49,4513.25,11091.74,8276.26,5217.35,32065.35,5717.793,8405.063,1026.52,8682.22,8472,5040.99
2007-08,48782,230.78,1664.5,184,144,9995.62,8774.96,7722.82,2023.67,1657.28,5174.34,13152.83,8995.18,6357.48,35628.26,6558.635,10123.12,1394.21,12379.65,9315,5908.01
2008-09,54812,234.47,1581.04,191,152,12889.74,9263.04,9009.67,4715.81,3460.83,6147.96,15996.77,12773.33,7628.92,40654.78,8407.551,13744.36,1906.45,12838.65,11015,6911.53
2009-10,63284,218.11,1634.49,219,174,15756.09,9846.11,11366.76,6073.01,5092.41,7133.95,18521.19,16691.86,9182.47,45735.91,8455.336,13637.36,1578.19,12596.65,11038,7995.49
2010-11,75527,244.49,1688.09,234,181,19227.08,12500.6687,13772.88,5350.52,4147.97,8504.49,21451.45,19838.96,10702.76,51061.43,11429.219,16834.67,1323.58,13610.13,23556,9496.59
2011-12,86595,259.29,1847.65,242,188,25722.42,14427.5169,15391.77,6843.43,6209.62,9689.75,24217.68,23737.31,12038.18,58845.48,14592.805,23454.63,1549.61,15061.3,12448,10672.3
2012-13,98273,257.13,1871.22,256,201,30163.93,16879.586,17547.36,6856.6,6541.24,10853.74,26949.33,27090.11,13489.96,66278.2,16343.19,26691.62,1469.54,15884.2,7201,11909.75
2013-14,110936,265.04,1945.76,259,206,29190.39,18465.4537,20054.41,7507.1,6395.61,11944.54,30002.99,30448.7,15111.33,75331.61,18941.82,27141.82,1868.3,18283.8,7292,13010.74
2014-15,123205,252.02,1960.82,258,210,27414.55,20915.5031,22198.93,8379.16,6729.07,13186.23,32852.1,30073.94,17084.89,83005.83,18964.45,27370.87,2158.93,21376.4,12933,14483.12
2015-16,136121,251.57,1992.19,269,232,26534.26,23375.727,25365.44,9534.61,7048.35,14742.2,37606.11,32384.84,19259.49,94382.48,17163.84,24903.06,2942.58,23787.4,12748,16634.63
2016-17,150774,275.68,1949.7,280,250,29665.28,26221.45,33935.83,10699.5,7393.41,13824.82,42659.69,38566.07,21841.78,105844.1,18494.34,25776.75,2832.92,23982,17997,13352.66
2017-18,169052,285.01,2096.21,290,255,29300.08,29781.34,36552.37,10015.56,8058.5,15465.43,45159.46,40013.99,24426.74,119281.06,19565.15,30010.33,2539.77,27608.5,7931,18293.48
2018-19,186846,285.21,2145,296,259,31193.41,32789.47,40311.77,11121.88,8205.91,19102.6,50407.47,43884.9,26615.64,133682.27,23077.26,35946.75,3019.32,28558.82,5519,21367.7
2019-20,201579,297.5,2109.28,295,271,37017.91,36040.27,43507.46,15860.26,9702,21612.97,58759.14,49603.62,29571.63,150024.75,22198.54,33609.54,3969.55,36021.55,8682,24473.12
2020-21,195613,308.65,2114.42,263,241,48723.22,39759.05,50558.07,24750.16,20354.6,26178.07,64702.54,58503.74,32776.96,166313.99,21543.39,29099.37,4067.65,42189.53,54522,28537.63
